# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
2.291867943904264127e-01,1.676203060954407909e-01,4.169999999999999574e+01,1.004987562112086952e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.395000000000000284e+01,6.224949798994369177e-01,2.794999999999999929e+01,6.224949798994366956e-01,8.277885524992967259e-01,7.449141275747944713e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,0.000000000000000000e+00,3.675000000000000000e+01,1.785357107135712607e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.075000000000000000e+01,1.089724735885168494e+00,2.475000000000000000e+01,1.089724735885168494e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.519024908542633057e+00,8.985442492705995043e-01,2.519024908542633057e+00,8.985442492705995043e-01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.253454117184011007e-01,3.427939582010906538e-01,3.779999999999999716e+01,2.213594362117865977e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.177499999999999858e+01,1.185590570137937672e+00,2.577499999999999858e+01,1.185590570137937450e+00,1.180266832499569762e+00,6.986300854758185075e-01,5.000000000000000000e-01,5.000000000000000000e-01,4.850000000000000000e+01,1.045227248018343680e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.350000000000000000e+01,2.061552812808830293e+00,2.750000000000000000e+01,2.061552812808830293e+00,2.775000000000000000e+01,1.056823069392412506e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.025000000000000000e+01,8.291561975888499525e-01,2.425000000000000000e+01,8.291561975888499525e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.463501095771789551e+00,4.781260582046342744e-01,3.982526004314422607e+00,1.360396767461326650e+00,8.250000000000000000e+00,8.291561975888499525e-01,1.750000000000000000e+01,8.291561975888500413e+00
9.014889607497417190e-01,7.177807777970591774e-01,3.904999999999999716e+01,7.533259586659686313e-01,5.000000000000000000e+00,0.000000000000000000e+00,4.114999999999999858e+01,1.107925990308018083e+00,2.514999999999999858e+01,1.107925990308017417e+00,2.519226007499948849e+00,2.294140103136680153e+00,7.500000000000000000e-01,4.330127018922192983e-01,5.000000000000000000e+01,4.301162633521313339e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.275000000000000000e+01,1.479019945774904032e+00,2.675000000000000000e+01,1.479019945774904032e+00,2.875000000000000000e+01,6.533567172685989632e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.950000000000000000e+01,1.500000000000000000e+00,2.350000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.844325840473175049e+00,9.479485335972474003e-01,5.826851844787597656e+00,2.295107590300860423e+00,1.125000000000000000e+01,1.479019945774904032e+00,2.500000000000000000e+01,9.860132971832694437e+00
1.190681079874677417e+00,7.520420844335304889e-01,4.434999999999999432e+01,6.242395373572552586e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.095000000000000284e+01,1.351850583459577093e+00,2.495000000000000284e+01,1.351850583459577093e+00,3.329467639999897699e+00,2.260961437019164411e+00,7.500000000000000000e-01,4.330127018922192983e-01,5.825000000000000000e+01,1.070922499530194827e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.250000000000000000e+01,1.658312395177699905e+00,2.650000000000000000e+01,1.658312395177699905e+00,3.075000000000000000e+01,5.309190145398825500e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.925000000000000000e+01,1.479019945774904032e+00,2.325000000000000000e+01,1.479019945774904032e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.033622741699218750e+00,1.004208201318541160e+00,7.860474586486816406e+00,3.283948163740712634e+00,1.525000000000000000e+01,1.479019945774904032e+00,2.375000000000000000e+01,7.395099728874519940e+00
1.724598809416317158e+00,1.336586419134413894e+00,4.884999999999999432e+01,1.336964846209503044e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.028333333333333854e+01,1.774119499921016585e+00,2.428333333333333144e+01,1.774119499921019250e+00,3.329467639999897699e+00,2.260961437019164411e+00,1.250000000000000000e+00,1.089724735885168494e+00,6.375000000000000000e+01,1.918821252748676542e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.150000000000000000e+01,2.061552812808830293e+00,2.550000000000000000e+01,2.061552812808830293e+00,3.500000000000000000e+01,9.721111047611790568e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.925000000000000000e+01,1.479019945774904032e+00,2.325000000000000000e+01,1.479019945774904032e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.630774676799774170e+00,3.506171916646383946e-01,9.491249263286590576e+00,3.589923428650033443e+00,1.775000000000000000e+01,2.384848003542364037e+00,2.900000000000000000e+01,9.539392014169456147e+00
2.001647093686738987e+00,1.588360072121244526e+00,5.370000000000000284e+01,1.380181147531004449e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.005000000000000426e+01,1.125833024919770109e+00,2.405000000000000071e+01,1.125833024919770553e+00,3.582763404999795842e+00,2.114135216088153690e+00,1.250000000000000000e+00,1.089724735885168494e+00,6.875000000000000000e+01,2.543005112067217155e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.250000000000000000e+01,8.660254037844385966e-01,2.650000000000000000e+01,8.660254037844385966e-01,3.900000000000000000e+01,8.062257748298549132e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,1.224744871391588941e+00,2.300000000000000000e+01,1.224744871391588941e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.337987482547760010e+00,2.754886357296633115e+00,1.282923674583435059e+01,6.337607558326789459e+00,2.125000000000000000e+01,3.031088913245535199e+00,2.916666666666666430e+01,1.010362971081845629e+01
2.259215915499665606e+00,1.516005654590973917e+00,5.400000000000000000e+01,1.135253275705470166e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,1.667333200053307429e+00,2.400000000000000000e+01,1.667333200053307429e+00,3.582763404999795842e+00,2.114135216088153690e+00,1.250000000000000000e+00,1.089724735885168494e+00,6.600000000000000000e+01,2.072438177606270671e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.075000000000000000e+01,1.785357107135712607e+00,2.475000000000000000e+01,1.785357107135712607e+00,4.100000000000000000e+01,3.741657386773941329e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,1.224744871391588941e+00,2.300000000000000000e+01,1.224744871391588941e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800451099872589111e+00,1.416176539668529966e+00,1.562968784570693970e+01,7.622380036881351018e+00,2.475000000000000000e+01,3.766629793329840936e+00,2.928571428571428470e+01,1.076179940951383784e+01
1.879691592749583862e+00,1.210391732493305339e+00,5.900000000000000000e+01,1.756473740196533484e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.020000000000000284e+01,1.529705854077836324e+00,2.419999999999999929e+01,1.529705854077835214e+00,3.973388404999795842e+00,2.137686535398259480e+00,1.250000000000000000e+00,1.089724735885168494e+00,7.325000000000000000e+01,2.082516506537223222e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.225000000000000000e+01,2.165063509461096825e+00,2.625000000000000000e+01,2.165063509461096825e+00,4.450000000000000000e+01,1.479019945774903988e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.875000000000000000e+01,1.089724735885168494e+00,2.275000000000000000e+01,1.089724735885168494e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.488258123397827148e+00,1.386760466277485726e+00,1.811794596910476685e+01,8.984068844309405222e+00,2.825000000000000000e+01,3.897114317029974018e+00,2.937500000000000000e+01,9.742785792574931492e+00
2.917822993749266569e+00,1.631690766886072286e+00,5.325000000000000000e+01,1.468085487974048320e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.968750000000000000e+01,1.363073273892493775e+00,2.368750000000000000e+01,1.363073273892493775e+00,6.561279029999795398e+00,4.265108975797771151e+00,1.500000000000000000e+00,1.500000000000000000e+00,6.900000000000000000e+01,1.389244398944980396e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.125000000000000000e+01,1.479019945774904032e+00,2.525000000000000000e+01,1.479019945774904032e+00,4.100000000000000000e+01,1.797220075561142849e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.825000000000000000e+01,1.089724735885168494e+00,2.225000000000000000e+01,1.089724735885168494e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.632930576801300049e+00,1.235545189781138031e+00,2.075087654590606689e+01,1.013693191702459728e+01,3.100000000000000000e+01,4.301162633521313339e+00,3.111111111111110716e+01,9.558139185602918531e+00
3.262148550249577283e+00,1.833349198635594535e+00,5.054999999999999716e+01,1.314334432326871749e+01,4.950000000000000178e+00,8.660254037844393460e-02,3.929999999999999716e+01,1.603121954188139187e+00,2.330000000000000071e+01,1.603121954188139853e+00,7.147216529999795398e+00,4.446557102705243736e+00,1.500000000000000000e+00,1.500000000000000000e+00,5.900000000000000000e+01,1.501665741768120732e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.125000000000000000e+01,1.920286436967151955e+00,2.525000000000000000e+01,1.920286436967151955e+00,4.075000000000000000e+01,9.984362773857929696e+00,4.750000000000000000e+00,4.330127018922192983e-01,3.750000000000000000e+01,1.802775637731994562e+00,2.150000000000000000e+01,1.802775637731994562e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.436568558216094971e+00,1.314163066189921736e+00,2.318744510412216187e+01,1.142739849832740262e+01,3.400000000000000000e+01,4.743416490252569062e+00,3.200000000000000000e+01,9.486832980505138124e+00
3.987932428999206635e+00,2.534690850586925670e+00,4.860000000000000142e+01,1.174563748802081697e+01,4.950000000000000178e+00,8.660254037844393460e-02,3.914999999999999858e+01,1.532155344604457126e+00,2.314999999999999858e+01,1.532155344604457126e+00,7.635497779999795398e+00,5.070942063595798466e+00,1.500000000000000000e+00,1.500000000000000000e+00,5.725000000000000000e+01,1.349768498669308769e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.125000000000000000e+01,1.920286436967151955e+00,2.525000000000000000e+01,1.920286436967151955e+00,4.175000000000000000e+01,9.807522622966516224e+00,4.750000000000000000e+00,4.330127018922192983e-01,3.725000000000000000e+01,1.785357107135712607e+00,2.125000000000000000e+01,1.785357107135712607e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.021887540817260742e+00,2.160334395738793045e+00,2.620933264493942261e+01,1.357518462849367857e+01,3.650000000000000000e+01,5.024937810560444973e+00,3.363636363636364024e+01,9.136250564655355788e+00
5.028685303248961347e+00,3.144609951512465695e+00,5.229999999999999716e+01,1.083835780918862213e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,1.203120941551596657e+00,2.314999999999999858e+01,1.203120941551596657e+00,1.224365180999959080e+01,8.747009364587576385e+00,1.500000000000000000e+00,1.500000000000000000e+00,6.350000000000000000e+01,1.473940297298367597e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.150000000000000000e+01,2.061552812808830293e+00,2.550000000000000000e+01,2.061552812808830293e+00,4.250000000000000000e+01,1.160818676624390022e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.725000000000000000e+01,1.089724735885168494e+00,2.125000000000000000e+01,1.089724735885168494e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.783031821250915527e+00,2.098129532109876738e+00,2.999236446619033813e+01,1.555231084841750366e+01,3.975000000000000000e+01,5.356071321407137376e+00,3.375000000000000000e+01,8.926785535678561700e+00
8.028486682998751789e+00,5.985682807010695328e+00,5.750000000000000000e+01,1.388848443855555992e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.820000000000000284e+01,1.208304597359458166e+00,2.219999999999999929e+01,1.208304597359456833e+00,1.224365180999959080e+01,8.747009364587576385e+00,1.750000000000000000e+00,1.920286436967151955e+00,6.650000000000000000e+01,1.171537451385998096e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,1.870828693386970665e+00,2.400000000000000000e+01,1.870828693386970665e+00,4.450000000000000000e+01,1.281600561797629645e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.725000000000000000e+01,1.089724735885168494e+00,2.125000000000000000e+01,1.089724735885168494e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.351128399372100830e+00,2.587805276819351352e+00,3.434349286556243896e+01,1.729859030889075910e+01,4.125000000000000000e+01,5.402545696243577389e+00,3.653846153846154721e+01,8.311608763451653559e+00
7.379301311748606373e+00,5.393841468051848054e+00,5.645000000000000284e+01,1.442107832306585458e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.840000000000000568e+01,1.077032961426902524e+00,2.240000000000000213e+01,1.077032961426900748e+00,1.224365180999959080e+01,8.747009364587576385e+00,1.750000000000000000e+00,1.920286436967151955e+00,7.100000000000000000e+01,1.862793601019715695e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.050000000000000000e+01,1.500000000000000000e+00,2.450000000000000000e+01,1.500000000000000000e+00,4.375000000000000000e+01,9.065732182234372161e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.700000000000000000e+01,7.071067811865475727e-01,2.100000000000000000e+01,7.071067811865475727e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.246204137802124023e+00,2.312990876300126786e+00,3.858969700336456299e+01,1.956599848070358050e+01,4.400000000000000000e+01,5.787918451395112740e+00,3.714285714285714590e+01,8.268454930564445249e+00
6.008299711999107728e+00,4.429856374665400054e+00,5.714999999999999858e+01,1.338908137252141728e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.834999999999999432e+01,8.986100377805695816e-01,2.234999999999999787e+01,8.986100377805710249e-01,1.224365180999959080e+01,8.747009364587576385e+00,1.750000000000000000e+00,1.920286436967151955e+00,6.275000000000000000e+01,1.527047805407545233e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.975000000000000000e+01,8.291561975888499525e-01,2.375000000000000000e+01,8.291561975888499525e-01,5.000000000000000000e+01,1.140175425099137918e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000000e+01,8.660254037844385966e-01,2.150000000000000000e+01,8.660254037844385966e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.354999423027038574e+00,1.415409073031662635e+00,4.194469642639160156e+01,2.091084233008793447e+01,4.775000000000000000e+01,5.629165124598850767e+00,3.633333333333332860e+01,7.505553499465133171e+00
6.200255529749358452e+00,4.638890642834267553e+00,5.439999999999999858e+01,1.582024020045207813e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.835000000000000142e+01,7.533259586659682983e-01,2.235000000000000142e+01,7.533259586659684093e-01,1.303710723999836674e+01,9.224642083128040682e+00,1.750000000000000000e+00,1.920286436967151955e+00,6.050000000000000000e+01,1.709532099727875831e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,1.224744871391588941e+00,2.400000000000000000e+01,1.224744871391588941e+00,4.675000000000000000e+01,1.441136704133233870e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.700000000000000000e+01,0.000000000000000000e+00,2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.492734789848327637e+00,1.330737549567311051e+00,4.543743121623992920e+01,2.124335054348085450e+01,5.050000000000000000e+01,5.500000000000000000e+00,3.687500000000000000e+01,6.875000000000002665e+00
9.477738806498681612e+00,7.801528019060739005e+00,5.295000000000000284e+01,1.708354471413939280e+01,4.950000000000000178e+00,8.660254037844394848e-02,3.783749999999999858e+01,4.992181386928961628e-01,2.183749999999999858e+01,4.992181386928972175e-01,1.865233947999673347e+01,1.636055906690214101e+01,2.000000000000000000e+00,1.732050807568877193e+00,6.150000000000000000e+01,1.640883908142193803e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.050000000000000000e+01,1.500000000000000000e+00,2.450000000000000000e+01,1.500000000000000000e+00,4.275000000000000000e+01,1.971515914214237242e+01,4.750000000000000000e+00,4.330127018922192983e-01,3.625000000000000000e+01,8.291561975888499525e-01,2.025000000000000000e+01,8.291561975888499525e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.506489455699920654e+00,2.280531939126266838e+00,4.994392067193984985e+01,2.236451794438518093e+01,5.300000000000000000e+01,5.873670062235365030e+00,3.764705882352942012e+01,6.910200073218079275e+00
1.430701889949747851e+01,1.630736409831286693e+01,5.745000000000000284e+01,1.741629983664727632e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.729999999999999716e+01,7.549834435270741384e-01,2.129999999999999716e+01,7.549834435270753596e-01,1.865233947999673347e+01,1.636055906690214101e+01,2.000000000000000000e+00,1.732050807568877193e+00,6.400000000000000000e+01,1.644688420339852541e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,2.121320343559642385e+00,2.300000000000000000e+01,2.121320343559642385e+00,5.100000000000000000e+01,2.001249609618950132e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.650000000000000000e+01,5.000000000000000000e-01,2.050000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.084722876548767090e+00,5.658704168762437980e+00,5.802864354848861694e+01,2.466739714587047061e+01,5.550000000000000000e+01,5.024937810560444973e+00,3.833333333333333570e+01,5.583264233956044542e+00
1.327880625749812893e+01,1.427315703068469510e+01,5.770000000000000284e+01,1.745479876710126987e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000000e+01,8.062257748298531368e-01,2.150000000000000000e+01,8.062257748298550242e-01,1.865233947999673347e+01,1.636055906690214101e+01,2.000000000000000000e+00,1.732050807568877193e+00,6.550000000000000000e+01,1.924188140489385646e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.950000000000000000e+01,2.179449471770336988e+00,2.350000000000000000e+01,2.179449471770336988e+00,5.000000000000000000e+01,1.906567596493761840e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.650000000000000000e+01,5.000000000000000000e-01,2.050000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.134727954864501953e+00,4.030849735782060961e+00,6.416337150335311890e+01,2.762983744224423788e+01,5.800000000000000000e+01,5.522680508593630577e+00,3.894736842105263008e+01,5.813347903782769777e+00
1.163985941049795514e+01,8.850849641178903937e+00,5.825000000000000000e+01,1.768523395378189633e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.744999999999999574e+01,2.958039891549801848e-01,2.145000000000000284e+01,2.958039891549812395e-01,1.865233947999673347e+01,1.636055906690214101e+01,2.000000000000000000e+00,1.732050807568877193e+00,7.150000000000000000e+01,2.191460700081112734e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,7.071067811865475727e-01,2.400000000000000000e+01,7.071067811865475727e-01,4.500000000000000000e+01,1.394632568098135295e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.650000000000000000e+01,5.000000000000000000e-01,2.050000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.949320435523986816e+00,3.410322050845069342e+00,7.011269193887710571e+01,2.945003100776699156e+01,6.075000000000000000e+01,5.931905258852336438e+00,3.925000000000000000e+01,5.931905258852336438e+00
9.203587205998676524e+00,7.523210445091672582e+00,6.150000000000000000e+01,1.776091213873882069e+01,4.900000000000000355e+00,1.732050807568878970e-01,3.714999999999999858e+01,5.172040216394294676e-01,2.114999999999999858e+01,5.172040216394305778e-01,1.923827697999673347e+01,1.639549655134577932e+01,2.000000000000000000e+00,1.732050807568877193e+00,7.075000000000000000e+01,1.853881064146241187e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.850000000000000000e+01,8.660254037844385966e-01,2.250000000000000000e+01,8.660254037844385966e-01,5.225000000000000000e+01,1.694660733008232611e+01,4.750000000000000000e+00,4.330127018922192983e-01,3.600000000000000000e+01,7.071067811865475727e-01,2.000000000000000000e+01,7.071067811865475727e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.850489079952239990e+00,2.104843201497600624e+00,7.396318101882934570e+01,3.144323244790805560e+01,6.350000000000000000e+01,5.545268253204708842e+00,3.952380952380952550e+01,5.281207860194960801e+00
9.200283218997123313e+00,6.580862238447005907e+00,6.064999999999999858e+01,1.936924107960866692e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.710000000000000142e+01,4.123105625617662917e-01,2.110000000000000142e+01,4.123105625617656811e-01,2.017821513999390248e+01,1.571770988620239429e+01,2.000000000000000000e+00,1.732050807568877193e+00,6.750000000000000000e+01,2.145343795292493283e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.825000000000000000e+01,4.330127018922192983e-01,2.225000000000000000e+01,4.330127018922192983e-01,5.575000000000000000e+01,1.914908614007467591e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.952821373939514160e+00,3.333055620388448048e+00,8.091600239276885986e+01,3.363014664600004267e+01,6.700000000000000000e+01,5.787918451395112740e+00,3.909090909090909349e+01,5.261744046722828472e+00
1.042853911224642616e+01,7.679301751889807903e+00,5.895000000000000284e+01,1.823533657490313331e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.735000000000000142e+01,4.555216789572137936e-01,2.135000000000000142e+01,4.555216789572146818e-01,2.017821513999390248e+01,1.571770988620239429e+01,2.000000000000000000e+00,1.732050807568877193e+00,6.700000000000000000e+01,2.263846284534354325e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.950000000000000000e+01,1.500000000000000000e+00,2.350000000000000000e+01,1.500000000000000000e+00,5.050000000000000000e+01,1.490805151587557376e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.377378404140472412e+00,2.666010825286080799e+00,8.729338079690933228e+01,3.577399212717249810e+01,6.975000000000000000e+01,6.219927652312364330e+00,3.934782608695652328e+01,5.408632741141183864e+00
1.181950296099681275e+01,8.674382933784269056e+00,5.734999999999999432e+01,1.883261798051455216e+01,4.950000000000000178e+00,8.660254037844394848e-02,3.720000000000000284e+01,2.828427124746205057e-01,2.120000000000000284e+01,2.828427124746192844e-01,2.196959685999380341e+01,1.608531830097208370e+01,2.000000000000000000e+00,1.732050807568877193e+00,6.850000000000000000e+01,1.978004044485248158e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.975000000000000000e+01,8.291561975888499525e-01,2.375000000000000000e+01,8.291561975888499525e-01,4.650000000000000000e+01,1.802082129094009844e+01,4.750000000000000000e+00,4.330127018922192983e-01,3.575000000000000000e+01,4.330127018922192983e-01,1.975000000000000000e+01,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.869180679321289062e+00,3.706089322010401421e+00,9.416256147623062134e+01,3.941102850565815174e+01,7.275000000000000000e+01,6.299801584177076030e+00,3.937500000000000000e+01,5.249834653480894175e+00
1.560058087999593290e+01,1.232918553108039461e+01,6.009999999999999432e+01,1.606891408901049445e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.661250000000000426e+01,3.942952573896870705e-01,2.061249999999999716e+01,3.942952573896879587e-01,2.228698073999461826e+01,1.574234980920570059e+01,2.250000000000000000e+00,2.165063509461096825e+00,7.300000000000000000e+01,1.181101181101771580e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.825000000000000000e+01,8.291561975888499525e-01,2.225000000000000000e+01,8.291561975888499525e-01,4.750000000000000000e+01,2.119551839422664230e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.872428536415100098e+00,5.591752328910320813e+00,1.030349900126457214e+02,4.298218033308452846e+01,7.500000000000000000e+01,5.787918451395112740e+00,4.000000000000000000e+01,4.630334761116090547e+00
